"행정구역","2025년06월_남자 평균연령","2025년06월_여자 평균연령"
"서울특별시 양천구 신월5동(1147060000)","45.5","47.6"
"서울특별시 양천구 신월6동(1147061000)","41.6","43.3"
"서울특별시 양천구 신월7동(1147061100)","48.3","51.7"
"서울특별시 양천구 신정1동(1147062000)","41.6","43"
"서울특별시 양천구 신정2동(1147063000)","42.7","43.8"
"서울특별시 양천구 신정3동(1147064000)","43.9","46.1"
"서울특별시 양천구 신정4동(1147065000)","46.2","47.7"
"서울특별시 양천구 신정6동(1147067000)","41.1","42.3"
"서울특별시 양천구 신정7동(1147068000)","44.5","47.2"
"서울특별시 강서구 (1150000000)","44.2","45.7"
"서울특별시 강서구 염창동(1150051000)","40.5","41.2"
"서울특별시 강서구 등촌제1동(1150052000)","41.6","42.3"
"서울특별시 강서구 등촌제2동(1150053000)","44.2","46.7"
"서울특별시 강서구 등촌제3동(1150053500)","47.8","50.7"
"서울특별시 강서구 화곡제1동(1150054000)","45","46.2"
"서울특별시 강서구 화곡제2동(1150055000)","44.7","47.2"
"서울특별시 강서구 화곡제3동(1150056000)","46","47.5"
"서울특별시 강서구 화곡제4동(1150057000)","46.5","49.7"
"서울특별시 강서구 화곡본동(1150059000)","43.7","45.8"
"서울특별시 강서구 화곡제6동(1150059100)","44","44.6"
"서울특별시 강서구 화곡제8동(1150059300)","45.9","48.2"
"서울특별시 강서구 가양제1동(1150060300)","41.6","39.8"
"서울특별시 강서구 가양제2동(1150060400)","52","54.7"
"서울특별시 강서구 가양제3동(1150060500)","48.6","52.3"
"서울특별시 강서구 발산제1동(1150061100)","42","44.2"
"서울특별시 강서구 우장산동(1150061500)","42.6","43.1"
"서울특별시 강서구 공항동(1150062000)","42","43.2"
"서울특별시 강서구 방화제1동(1150063000)","43.4","44.8"
"서울특별시 강서구 방화제2동(1150064000)","46.7","49.3"
"서울특별시 강서구 방화제3동(1150064100)","48.3","51.1"
"서울특별시 구로구 (1153000000)","45.3","46.9"
"서울특별시 구로구 신도림동(1153051000)","41.9","42.4"
"서울특별시 구로구 구로제1동(1153052000)","41.9","43.5"
"서울특별시 구로구 구로제2동(1153053000)","49.9","52.2"
"서울특별시 구로구 구로제3동(1153054000)","43.1","44.9"
"서울특별시 구로구 구로제4동(1153055000)","49.2","51.4"
"서울특별시 구로구 구로제5동(1153056000)","44.8","45.3"
"서울특별시 구로구 가리봉동(1153059500)","47.7","50.2"
"서울특별시 구로구 고척제1동(1153072000)","43.7","45.4"
"서울특별시 구로구 고척제2동(1153073000)","47.2","49.1"
"서울특별시 구로구 개봉제1동(1153074000)","46.3","47.6"
"서울특별시 구로구 개봉제2동(1153075000)","47.2","48.8"
"서울특별시 구로구 개봉제3동(1153076000)","48.2","50.5"
"서울특별시 구로구 오류제1동(1153077000)","45.2","45.2"
"서울특별시 구로구 오류제2동(1153078000)","45.2","47.7"
"서울특별시 구로구 수궁동(1153079000)","46.6","49.3"
"서울특별시 구로구 항동(1153080000)","38.8","40.2"
"서울특별시 금천구 (1154500000)","45.9","47.4"
"서울특별시 금천구 가산동(1154551000)","41.3","40.6"
"서울특별시 금천구 독산제1동(1154561000)","42.2","42.6"
"서울특별시 금천구 독산제2동(1154562000)","48","49.9"
"서울특별시 금천구 독산제3동(1154563000)","48","49.7"
"서울특별시 금천구 독산제4동(1154564000)","48.9","50.2"
"서울특별시 금천구 시흥제1동(1154567000)","46.5","48.9"
"서울특별시 금천구 시흥제2동(1154568000)","46.6","48.4"
"서울특별시 금천구 시흥제3동(1154569000)","48.9","51.1"
"서울특별시 금천구 시흥제4동(1154570000)","49.2","51"
"서울특별시 금천구 시흥제5동(1154571000)","49.1","52"
"서울특별시 영등포구 (1156000000)","44","44.8"
"서울특별시 영등포구 영등포본동(1156051500)","46.7","47.9"
"서울특별시 영등포구 영등포동(1156053500)","42","39"
"서울특별시 영등포구 여의동(1156054000)","44.6","45.9"
"서울특별시 영등포구 당산제1동(1156055000)","43.7","44.2"
"서울특별시 영등포구 당산제2동(1156056000)","41.7","41.4"
"서울특별시 영등포구 도림동(1156058500)","45.9","46.9"
"서울특별시 영등포구 문래동(1156060500)","41.7","43.1"
"서울특별시 영등포구 양평제1동(1156061000)","41.5","41.9"
"서울특별시 영등포구 양평제2동(1156062000)","41.2","41.4"
"서울특별시 영등포구 신길제1동(1156063000)","45.1","46.8"
"서울특별시 영등포구 신길제3동(1156065000)","45.8","47.7"
"서울특별시 영등포구 신길제4동(1156066000)","45.7","48.3"
"서울특별시 영등포구 신길제5동(1156067000)","46.1","48.2"
"서울특별시 영등포구 신길제6동(1156068000)","44.4","46.1"
"서울특별시 영등포구 신길제7동(1156069000)","40.8","42.7"
"서울특별시 영등포구 대림제1동(1156070000)","47.6","50.6"
"서울특별시 영등포구 대림제2동(1156071000)","48.1","50.4"
"서울특별시 영등포구 대림제3동(1156072000)","47.7","49.7"
"서울특별시 동작구 (1159000000)","43.9","45.7"
"서울특별시 동작구 노량진제1동(1159051000)","43.1","46.4"
"서울특별시 동작구 노량진제2동(1159052000)","46.1","48.3"
"서울특별시 동작구 상도제1동(1159053000)","42","44.5"
"서울특별시 동작구 상도제2동(1159054000)","42.9","44.4"
"서울특별시 동작구 상도제3동(1159055000)","46","47.7"
"서울특별시 동작구 상도제4동(1159056000)","44.9","47.2"
"서울특별시 동작구 흑석동(1159060500)","43.3","45.1"
"서울특별시 동작구 사당제1동(1159062000)","43.8","44.9"
"서울특별시 동작구 사당제2동(1159063000)","45.6","47.8"
"서울특별시 동작구 사당제3동(1159064000)","45.3","46.5"
"서울특별시 동작구 사당제4동(1159065000)","45.7","47.8"
"서울특별시 동작구 사당제5동(1159065100)","44","45.7"
"서울특별시 동작구 대방동(1159066000)","43.1","44.3"
"서울특별시 동작구 신대방제1동(1159067000)","44.3","45.4"
"서울특별시 동작구 신대방제2동(1159068000)","42.4","43.6"
"서울특별시 관악구 (1162000000)","43.4","45"
"서울특별시 관악구 보라매동(1162052500)","45","47.3"
"서울특별시 관악구 청림동(1162054500)","44.6","47"
"서울특별시 관악구 성현동(1162056500)","44.2","46.8"
"서울특별시 관악구 행운동(1162057500)","42.6","42.9"
"서울특별시 관악구 낙성대동(1162058500)","38.6","39.7"
"서울특별시 관악구 청룡동(1162059500)","40.4","40.5"
"서울특별시 관악구 은천동(1162060500)","44.5","46.3"
"서울특별시 관악구 중앙동(1162061500)","42.6","42.2"
"서울특별시 관악구 인헌동(1162062500)","43.2","44.5"
"서울특별시 관악구 남현동(1162063000)","43.6","44.9"
"서울특별시 관악구 서원동(1162064500)","41.6","43.7"
"서울특별시 관악구 신원동(1162065500)","43.9","46.8"
"서울특별시 관악구 서림동(1162066500)","42.6","45.1"
"서울특별시 관악구 신사동(1162068500)","43.1","44"
"서울특별시 관악구 신림동(1162069500)","38.2","37.8"
"서울특별시 관악구 난향동(1162071500)","45.8","47.7"
"서울특별시 관악구 조원동(1162072500)","43.3","43.2"
"서울특별시 관악구 대학동(1162073500)","41.5","43.6"
"서울특별시 관악구 삼성동(1162074500)","50.5","53.6"
"서울특별시 관악구 미성동(1162076500)","46.6","48.2"
"서울특별시 관악구 난곡동(1162077500)","48","50"
"서울특별시 서초구 (1165000000)","42.6","43.7"
"서울특별시 서초구 서초1동(1165051000)","43.3","44.6"
"서울특별시 서초구 서초2동(1165052000)","40.6","40.8"
"서울특별시 서초구 서초3동(1165053000)","43.6","44.2"
"서울특별시 서초구 서초4동(1165053100)","41.6","42.5"
"서울특별시 서초구 잠원동(1165054000)","41.5","43.1"
"서울특별시 서초구 반포본동(1165055000)","45.3","42.7"
"서울특별시 서초구 반포1동(1165056000)","40.2","41"
"서울특별시 서초구 반포2동(1165057000)","40.1","40.9"
"서울특별시 서초구 반포3동(1165058000)","41.3","42.8"
"서울특별시 서초구 반포4동(1165058100)","42.4","44"
"서울특별시 서초구 방배본동(1165059000)","43.5","43.9"
"서울특별시 서초구 방배1동(1165060000)","44.4","45.7"
"서울특별시 서초구 방배2동(1165061000)","45.2","47"
"서울특별시 서초구 방배3동(1165062000)","44.4","45.4"
"서울특별시 서초구 방배4동(1165062100)","43.8","43.8"
"서울특별시 서초구 양재1동(1165065100)","43.6","45.8"
"서울특별시 서초구 양재2동(1165065200)","43.3","45.2"
"서울특별시 서초구 내곡동(1165066000)","44.3","46.3"
"서울특별시 강남구 (1168000000)","42.3","43.7"
"서울특별시 강남구 신사동(1168051000)","45.3","46.3"
"서울특별시 강남구 논현1동(1168052100)","43.6","44.2"
"서울특별시 강남구 논현2동(1168053100)","43.8","44.7"
"서울특별시 강남구 압구정동(1168054500)","45","46"
"서울특별시 강남구 청담동(1168056500)","43.1","44.3"
"서울특별시 강남구 삼성1동(1168058000)","44.5","46.5"
"서울특별시 강남구 삼성2동(1168059000)","41.2","42.8"
"서울특별시 강남구 대치1동(1168060000)","38.7","40.4"
"서울특별시 강남구 대치2동(1168061000)","40.3","43.2"
"서울특별시 강남구 대치4동(1168063000)","41.1","43.1"
"서울특별시 강남구 역삼1동(1168064000)","42.4","41.7"
"서울특별시 강남구 역삼2동(1168065000)","40.5","39.8"
"서울특별시 강남구 도곡1동(1168065500)","42.6","42.5"
